GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1400000US24005490400,24005490400,"Census Tract 4904, Baltimore County, Maryland",49.1,3.6,44.0,6.6,54.3,2.6
1400000US24005490500,24005490500,"Census Tract 4905, Baltimore County, Maryland",45.4,2.6,43.9,4.8,46.8,3.8
1400000US24005490601,24005490601,"Census Tract 4906.01, Baltimore County, Maryland",38.0,1.7,37.7,3.1,38.3,2.0
1400000US24005490602,24005490602,"Census Tract 4906.02, Baltimore County, Maryland",32.0,2.4,30.3,6.8,33.5,3.4
1400000US24005490603,24005490603,"Census Tract 4906.03, Baltimore County, Maryland",45.9,3.4,41.5,3.6,52.0,7.2
1400000US24005490605,24005490605,"Census Tract 4906.05, Baltimore County, Maryland",19.8,0.2,19.8,0.3,19.8,0.2
1400000US24005490701,24005490701,"Census Tract 4907.01, Baltimore County, Maryland",65.1,7.7,53.5,4.0,74.0,8.2
1400000US24005490703,24005490703,"Census Tract 4907.03, Baltimore County, Maryland",40.5,2.4,43.9,5.7,35.8,7.4
1400000US24005490800,24005490800,"Census Tract 4908, Baltimore County, Maryland",32.2,4.1,26.2,7.1,38.5,6.8
1400000US24005490900,24005490900,"Census Tract 4909, Baltimore County, Maryland",38.1,5.1,39.2,5.8,35.5,4.8
1400000US24005491000,24005491000,"Census Tract 4910, Baltimore County, Maryland",43.9,1.4,43.5,1.9,44.2,1.2
1400000US24005491100,24005491100,"Census Tract 4911, Baltimore County, Maryland",36.2,1.9,35.5,2.4,36.9,3.9
1400000US24005491201,24005491201,"Census Tract 4912.01, Baltimore County, Maryland",36.5,3.4,33.4,7.5,37.8,4.6
1400000US24005491202,24005491202,"Census Tract 4912.02, Baltimore County, Maryland",37.8,2.1,38.8,2.6,36.9,2.8
1400000US24005491300,24005491300,"Census Tract 4913, Baltimore County, Maryland",31.5,4.5,32.0,6.7,30.6,13.5
1400000US24005491401,24005491401,"Census Tract 4914.01, Baltimore County, Maryland",27.4,2.7,27.3,4.5,27.4,3.8
1400000US24005491402,24005491402,"Census Tract 4914.02, Baltimore County, Maryland",35.5,5.5,36.0,8.2,35.3,5.9
1400000US24005491500,24005491500,"Census Tract 4915, Baltimore County, Maryland",34.6,3.4,34.7,4.5,34.5,5.0
1400000US24005491600,24005491600,"Census Tract 4916, Baltimore County, Maryland",38.3,9.2,33.9,2.8,45.1,8.7
1400000US24005491701,24005491701,"Census Tract 4917.01, Baltimore County, Maryland",41.6,3.1,42.8,2.8,40.1,4.2
1400000US24005491900,24005491900,"Census Tract 4919, Baltimore County, Maryland",49.7,4.3,45.2,4.8,52.5,4.6
1400000US24005492001,24005492001,"Census Tract 4920.01, Baltimore County, Maryland",36.0,3.9,32.8,8.1,36.9,5.6
1400000US24005492002,24005492002,"Census Tract 4920.02, Baltimore County, Maryland",37.2,4.4,35.2,3.4,40.0,5.7
1400000US24005492101,24005492101,"Census Tract 4921.01, Baltimore County, Maryland",45.5,2.2,45.6,3.2,45.3,5.8
1400000US24005492102,24005492102,"Census Tract 4921.02, Baltimore County, Maryland",36.5,2.9,33.2,7.0,38.3,7.4
1400000US24005492200,24005492200,"Census Tract 4922, Baltimore County, Maryland",36.7,3.9,33.8,5.5,39.9,5.6
1400000US24005492300,24005492300,"Census Tract 4923, Baltimore County, Maryland",35.6,7.2,33.3,3.2,40.5,8.5
1400000US24005492401,24005492401,"Census Tract 4924.01, Baltimore County, Maryland",38.4,4.5,37.6,8.0,39.0,3.9
1400000US24005492402,24005492402,"Census Tract 4924.02, Baltimore County, Maryland",34.4,1.3,34.1,2.2,34.6,1.9
1400000US24005492500,24005492500,"Census Tract 4925, Baltimore County, Maryland",19.8,0.4,19.9,0.6,19.7,0.3
1400000US24005492600,24005492600,"Census Tract 4926, Baltimore County, Maryland",32.6,4.0,31.0,4.5,35.0,7.4
1400000US24005980000,24005980000,"Census Tract 9800, Baltimore County, Maryland",-,**,-,**,-,**
1400000US24005980100,24005980100,"Census Tract 9801, Baltimore County, Maryland",-,**,-,**,-,**
1400000US24005980200,24005980200,"Census Tract 9802, Baltimore County, Maryland",-,**,-,**,-,**
1400000US24009860101,24009860101,"Census Tract 8601.01, Calvert County, Maryland",45.3,1.5,44.1,3.7,46.4,1.4
1400000US24009860102,24009860102,"Census Tract 8601.02, Calvert County, Maryland",47.0,3.4,45.3,3.7,50.6,3.5
1400000US24009860200,24009860200,"Census Tract 8602, Calvert County, Maryland",44.0,1.6,43.3,2.5,44.4,2.1
1400000US24009860300,24009860300,"Census Tract 8603, Calvert County, Maryland",41.4,2.9,38.9,2.5,44.1,3.1
1400000US24009860401,24009860401,"Census Tract 8604.01, Calvert County, Maryland",35.6,1.3,35.3,2.2,35.9,2.3
1400000US24009860402,24009860402,"Census Tract 8604.02, Calvert County, Maryland",35.5,3.4,38.1,5.8,34.4,3.2
1400000US24009860501,24009860501,"Census Tract 8605.01, Calvert County, Maryland",41.8,1.6,40.9,1.1,43.3,2.5
1400000US24009860502,24009860502,"Census Tract 8605.02, Calvert County, Maryland",40.3,3.3,39.8,6.3,41.7,5.3
1400000US24009860600,24009860600,"Census Tract 8606, Calvert County, Maryland",42.2,3.7,35.2,6.7,46.0,3.4
1400000US24009860701,24009860701,"Census Tract 8607.01, Calvert County, Maryland",43.1,3.2,40.5,4.1,48.9,6.5
1400000US24009860702,24009860702,"Census Tract 8607.02, Calvert County, Maryland",36.6,7.3,31.9,3.5,43.5,5.1
1400000US24009860703,24009860703,"Census Tract 8607.03, Calvert County, Maryland",40.3,2.6,39.2,9.4,40.5,2.5
1400000US24009860801,24009860801,"Census Tract 8608.01, Calvert County, Maryland",42.2,3.7,43.4,2.8,40.2,6.6
1400000US24009860802,24009860802,"Census Tract 8608.02, Calvert County, Maryland",41.5,1.9,40.2,3.2,42.7,2.7
1400000US24009860900,24009860900,"Census Tract 8609, Calvert County, Maryland",45.9,3.5,44.3,8.9,47.3,3.1
1400000US24009861001,24009861001,"Census Tract 8610.01, Calvert County, Maryland",43.5,7.5,40.7,5.7,47.1,2.7
1400000US24009861003,24009861003,"Census Tract 8610.03, Calvert County, Maryland",40.0,2.5,39.2,3.5,40.5,3.8
